Tiempo ,ESTIMULO,ANGULO
0,0,-0.086
0.02,0,-0.086
0.04,0,-0.086
0.06,0,-0.086
0.08,0,-0.086
0.1,0,-0.086
0.12,0,-0.086
0.14,0,-0.086
0.16,0,-0.086
0.18,0,-0.086
0.2,0,-0.086
0.22,0,-0.086
0.24,0,-0.086
0.26,0,-0.086
0.28,0,-0.086
0.3,0,-0.086
0.32,0,-0.086
0.34,0,-0.086
0.36,0,-0.086
0.38,0,-0.086
0.4,0,-0.086
0.42,0,-0.086
0.44,0,-0.086
0.46,0,-0.086
0.48,0,-0.086
0.5,0,-0.086
0.52,0,-0.086
0.54,0,-0.086
0.56,0,-0.086
0.58,0,-0.086
0.6,0,-0.086
0.62,0,-0.086
0.64,0,-0.086
0.66,0,-0.086
0.68,0,-0.086
0.7,0,-0.086
0.72,0,-0.086
0.74,0,-0.086
0.76,0,-0.086
0.78,0,-0.086
0.8,0,-0.086
0.82,0,-0.086
0.84,0,-0.086
0.86,0,-0.086
0.88,0,-0.086
0.9,0,-0.086
0.92,0,-0.086
0.94,0,-0.086
0.96,0,-0.086
0.98,0,-0.086
1,0.8,-0.086
1.02,0.8,-0.086
1.04,0.8,-0.086
1.06,0.8,-0.086
1.08,0.8,-0.086
1.1,0.8,-0.086
1.12,0.8,-0.086
1.14,0.8,-0.086
1.16,0.8,-0.086
1.18,0.8,-0.086
1.2,0.8,-0.086
1.22,0.8,-0.086
1.24,0.8,-0.084
1.26,0.8,-0.084
1.28,0.8,-0.081
1.3,0.8,-0.074
1.32,0.8,-0.065
1.34,0.8,-0.053
1.36,0.8,-0.037
1.38,0.8,-0.018
1.4,0.8,0.005
1.42,0.8,0.033
1.44,0.8,0.062
1.46,0.8,0.096
1.48,0.8,0.132
1.5,0.8,0.172
1.52,0.8,0.214
1.54,0.8,0.258
1.56,0.8,0.303
1.58,0.8,0.349
1.6,0.8,0.396
1.62,0.8,0.445
1.64,0.8,0.492
1.66,0.8,0.541
1.68,0.8,0.588
1.7,0.8,0.635
1.72,0.8,0.68
1.74,0.8,0.726
1.76,0.8,0.767
1.78,0.8,0.809
1.8,0.8,0.848
1.82,0.8,0.884
1.84,0.8,0.919
1.86,0.8,0.951
1.88,0.8,0.98
1.9,0.8,1.007
1.92,0.8,1.029
1.94,0.8,1.05
1.96,0.8,1.068
1.98,0.8,1.082
2,0.8,1.094
2.02,0.8,1.103
2.04,0.8,1.108
2.06,0.8,1.11
2.08,0.8,1.108
2.1,0.8,1.104
2.12,0.8,1.097
2.14,0.8,1.087
2.16,0.8,1.075
2.18,0.8,1.059
2.2,0.8,1.04
2.22,0.8,1.019
2.24,0.8,0.994
2.26,0.8,0.966
2.28,0.8,0.939
2.3,0.8,0.907
2.32,0.8,0.872
2.34,0.8,0.837
2.36,0.8,0.801
2.38,0.8,0.762
2.4,0.8,0.722
2.42,0.8,0.68
2.44,0.8,0.638
2.46,0.8,0.596
2.48,0.8,0.553
2.5,0.8,0.509
2.52,0.8,0.467
2.54,0.8,0.425
2.56,0.8,0.383
2.58,0.8,0.343
2.6,0.8,0.305
2.62,0.8,0.268
2.64,0.8,0.233
2.66,0.8,0.202
2.68,0.8,0.172
2.7,0.8,0.146
2.72,0.8,0.122
2.74,0.8,0.101
2.76,0.8,0.085
2.78,0.8,0.071
2.8,0.8,0.061
2.82,0.8,0.054
2.84,0.8,0.05
2.86,0.8,0.05
2.88,0.8,0.054
2.9,0.8,0.061
2.92,0.8,0.071
2.94,0.8,0.085
2.96,0.8,0.102
2.98,0.8,0.123
3,0.8,0.146
3.02,0.8,0.171
3.04,0.8,0.198
3.06,0.8,0.23
3.08,0.8,0.261
3.1,0.8,0.294
3.12,0.8,0.329
3.14,0.8,0.366
3.16,0.8,0.403
3.18,0.8,0.441
3.2,0.8,0.479
3.22,0.8,0.516
3.24,0.8,0.555
3.26,0.8,0.591
3.28,0.8,0.628
3.3,0.8,0.663
3.32,0.8,0.698
3.34,0.8,0.731
3.36,0.8,0.762
3.38,0.8,0.79
3.4,0.8,0.818
3.42,0.8,0.844
3.44,0.8,0.867
3.46,0.8,0.888
3.48,0.8,0.905
3.5,0.8,0.921
3.52,0.8,0.935
3.54,0.8,0.945
3.56,0.8,0.954
3.58,0.8,0.959
3.6,0.8,0.961
3.62,0.8,0.963
3.64,0.8,0.959
3.66,0.8,0.954
3.68,0.8,0.947
3.7,0.8,0.937
3.72,0.8,0.925
3.74,0.8,0.909
3.76,0.8,0.891
3.78,0.8,0.872
3.8,0.8,0.851
3.82,0.8,0.827
3.84,0.8,0.802
3.86,0.8,0.774
3.88,0.8,0.747
3.9,0.8,0.717
3.92,0.8,0.685
3.94,0.8,0.652
3.96,0.8,0.619
3.98,0.8,0.586
4,0.8,0.551
4.02,0.8,0.516
4.04,0.8,0.481
4.06,0.8,0.448
4.08,0.8,0.413
4.1,0.8,0.38
4.12,0.8,0.349
4.14,0.8,0.319
4.16,0.8,0.289
4.18,0.8,0.263
4.2,0.8,0.237
4.22,0.8,0.214
4.24,0.8,0.193
4.26,0.8,0.176
4.28,0.8,0.16
4.3,0.8,0.146
4.32,0.8,0.137
4.34,0.8,0.13
4.36,0.8,0.125
4.38,0.8,0.123
4.4,0.8,0.125
4.42,0.8,0.13
4.44,0.8,0.137
4.46,0.8,0.148
4.48,0.8,0.16
4.5,0.8,0.176
4.52,0.8,0.193
4.54,0.8,0.212
4.56,0.8,0.235
4.58,0.8,0.26
4.6,0.8,0.286
4.62,0.8,0.314
4.64,0.8,0.342
4.66,0.8,0.371
4.68,0.8,0.403
4.7,0.8,0.434
4.72,0.8,0.467
4.74,0.8,0.5
4.76,0.8,0.532
4.78,0.8,0.565
4.8,0.8,0.596
4.82,0.8,0.626
4.84,0.8,0.656
4.86,0.8,0.685
4.88,0.8,0.713
4.9,0.8,0.74
4.92,0.8,0.762
4.94,0.8,0.785
4.96,0.8,0.806
4.98,0.8,0.825
5,0.8,0.843
5.02,0.8,0.856
5.04,0.8,0.869
5.06,0.8,0.879
5.08,0.8,0.886
5.1,0.8,0.893
5.12,0.8,0.895
5.14,0.8,0.897
5.16,0.8,0.895
5.18,0.8,0.891
5.2,0.8,0.886
5.22,0.8,0.877
5.24,0.8,0.867
5.26,0.8,0.855
5.28,0.8,0.841
5.3,0.8,0.825
5.32,0.8,0.806
5.34,0.8,0.787
5.36,0.8,0.766
5.38,0.8,0.743
5.4,0.8,0.719
5.42,0.8,0.692
5.44,0.8,0.666
5.46,0.8,0.638
5.48,0.8,0.61
5.5,0.8,0.582
5.52,0.8,0.553
5.54,0.8,0.525
5.56,0.8,0.495
5.58,0.8,0.467
5.6,0.8,0.438
5.62,0.8,0.411
5.64,0.8,0.383
5.66,0.8,0.359
5.68,0.8,0.335
5.7,0.8,0.31
5.72,0.8,0.289
5.74,0.8,0.27
5.76,0.8,0.253
5.78,0.8,0.237
5.8,0.8,0.223
5.82,0.8,0.212
5.84,0.8,0.202
5.86,0.8,0.197
5.88,0.8,0.192
5.9,0.8,0.192
5.92,0.8,0.192
5.94,0.8,0.195
5.96,0.8,0.202
5.98,0.8,0.209
6,0.8,0.221
6.02,0.8,0.233
6.04,0.8,0.247
6.06,0.8,0.265
6.08,0.8,0.284
6.1,0.8,0.303
6.12,0.8,0.326
6.14,0.8,0.349
6.16,0.8,0.373
6.18,0.8,0.399
6.2,0.8,0.425
6.22,0.8,0.452
6.24,0.8,0.478
6.26,0.8,0.504
6.28,0.8,0.53
6.3,0.8,0.556
6.32,0.8,0.582
6.34,0.8,0.607
6.36,0.8,0.631
6.38,0.8,0.654
6.4,0.8,0.677
6.42,0.8,0.696
6.44,0.8,0.715
6.46,0.8,0.734
6.48,0.8,0.75
6.5,0.8,0.764
6.52,0.8,0.778
6.54,0.8,0.788
6.56,0.8,0.799
6.58,0.8,0.806
6.6,0.8,0.811
6.62,0.8,0.815
6.64,0.8,0.816
6.66,0.8,0.816
6.68,0.8,0.815
6.7,0.8,0.811
6.72,0.8,0.804
6.74,0.8,0.797
6.76,0.8,0.787
6.78,0.8,0.776
6.8,0.8,0.764
6.82,0.8,0.75
6.84,0.8,0.734
6.86,0.8,0.717
6.88,0.8,0.699
6.9,0.8,0.68
6.92,0.8,0.661
6.94,0.8,0.64
6.96,0.8,0.617
6.98,0.8,0.596
7,0.8,0.574
7.02,0.8,0.551
7.04,0.8,0.527
7.06,0.8,0.504
7.08,0.8,0.481
7.1,0.8,0.459
7.12,0.8,0.438
7.14,0.8,0.417
7.16,0.8,0.396
7.18,0.8,0.377
7.2,0.8,0.357
7.22,0.8,0.342
7.24,0.8,0.326
7.26,0.8,0.312
7.28,0.8,0.3
7.3,0.8,0.289
7.32,0.8,0.281
7.34,0.8,0.272
7.36,0.8,0.268
7.38,0.8,0.265
7.4,0.8,0.263
7.42,0.8,0.263
7.44,0.8,0.267
7.46,0.8,0.27
7.48,0.8,0.277
7.5,0.8,0.284
7.52,0.8,0.294
7.54,0.8,0.307
7.56,0.8,0.319
7.58,0.8,0.333
7.6,0.8,0.349
7.62,0.8,0.366
7.64,0.8,0.383
7.66,0.8,0.403
7.68,0.8,0.422
7.7,0.8,0.443
7.72,0.8,0.462
7.74,0.8,0.483
7.76,0.8,0.504
7.78,0.8,0.523
7.8,0.8,0.544
7.82,0.8,0.565
7.84,0.8,0.584
7.86,0.8,0.603
7.88,0.8,0.621
7.9,0.8,0.638
7.92,0.8,0.654
7.94,0.8,0.67
7.96,0.8,0.684
7.98,0.8,0.698
8,0.8,0.708
8.02,0.8,0.719
8.04,0.8,0.727
8.06,0.8,0.736
8.08,0.8,0.741
8.1,0.8,0.747
8.12,0.8,0.75
8.14,0.8,0.752
8.16,0.8,0.752
8.18,0.8,0.75
8.2,0.8,0.747
8.22,0.8,0.743
8.24,0.8,0.738
8.26,0.8,0.731
8.28,0.8,0.722
8.3,0.8,0.712
8.32,0.8,0.701
8.34,0.8,0.689
8.36,0.8,0.677
8.38,0.8,0.661
8.4,0.8,0.647
8.42,0.8,0.63
8.44,0.8,0.614
8.46,0.8,0.596
8.48,0.8,0.579
8.5,0.8,0.562
8.52,0.8,0.542
8.54,0.8,0.525
8.56,0.8,0.506
8.58,0.8,0.488
8.6,0.8,0.471
8.62,0.8,0.453
8.64,0.8,0.436
8.66,0.8,0.42
8.68,0.8,0.404
8.7,0.8,0.389
8.72,0.8,0.375
8.74,0.8,0.363
8.76,0.8,0.352
8.78,0.8,0.342
8.8,0.8,0.333
8.82,0.8,0.324
8.84,0.8,0.319
8.86,0.8,0.314
8.88,0.8,0.312
8.9,0.8,0.31
8.92,0.8,0.31
8.94,0.8,0.312
8.96,0.8,0.315
8.98,0.8,0.321
9,0.8,0.328
9.02,0.8,0.335
9.04,0.8,0.343
9.06,0.8,0.354
9.08,0.8,0.364
9.1,0.8,0.377
9.12,0.8,0.39
9.14,0.8,0.404
9.16,0.8,0.418
9.18,0.8,0.434
9.2,0.8,0.45
9.22,0.8,0.466
9.24,0.8,0.481
9.26,0.8,0.499
9.28,0.8,0.514
9.3,0.8,0.532
9.32,0.8,0.548
9.34,0.8,0.563
9.36,0.8,0.579
9.38,0.8,0.595
9.4,0.8,0.609
9.42,0.8,0.623
9.44,0.8,0.637
9.46,0.8,0.649
9.48,0.8,0.659
9.5,0.8,0.67
9.52,0.8,0.678
9.54,0.8,0.687
9.56,0.8,0.694
9.58,0.8,0.699
9.6,0.8,0.705
9.62,0.8,0.708
9.64,0.8,0.71
9.66,0.8,0.71
9.68,0.8,0.71
9.7,0.8,0.708
9.72,0.8,0.705
9.74,0.8,0.701
9.76,0.8,0.694
9.78,0.8,0.689
9.8,0.8,0.68
9.82,0.8,0.671
9.84,0.8,0.661
9.86,0.8,0.651
9.88,0.8,0.638
9.9,0.8,0.626
9.92,0.8,0.614
9.94,0.8,0.6
9.96,0.8,0.586
9.98,0.8,0.57
10,0.8,0.556
10.02,0.8,0.541
10.04,0.8,0.525
10.06,0.8,0.509
10.08,0.8,0.495
10.1,0.8,0.479
10.12,0.8,0.466
10.14,0.8,0.452
10.16,0.8,0.438
10.18,0.8,0.424
10.2,0.8,0.411
10.22,0.8,0.401
10.24,0.8,0.39
10.26,0.8,0.38
10.28,0.8,0.373
10.3,0.8,0.364
10.32,0.8,0.359
10.34,0.8,0.354
10.36,0.8,0.35
10.38,0.8,0.349
10.4,0.8,0.347
10.42,0.8,0.347
10.44,0.8,0.349
10.46,0.8,0.35
10.48,0.8,0.356
10.5,0.8,0.359
10.52,0.8,0.366
10.54,0.8,0.373
10.56,0.8,0.38
10.58,0.8,0.39
10.6,0.8,0.399
10.62,0.8,0.41
10.64,0.8,0.422
10.66,0.8,0.432
10.68,0.8,0.445
10.7,0.8,0.459
10.72,0.8,0.471
10.74,0.8,0.483
10.76,0.8,0.497
10.78,0.8,0.511
10.8,0.8,0.523
10.82,0.8,0.535
10.84,0.8,0.548
10.86,0.8,0.56
10.88,0.8,0.572
10.9,0.8,0.584
10.92,0.8,0.595
10.94,0.8,0.603
10.96,0.8,0.614
10.98,0.8,0.623
11,0.8,0.63
11.02,0.8,0.637
11.04,0.8,0.642
11.06,0.8,0.647
11.08,0.8,0.652
11.1,0.8,0.656
11.12,0.8,0.658
11.14,0.8,0.658
11.16,0.8,0.659
11.18,0.8,0.658
11.2,0.8,0.656
11.22,0.8,0.652
11.24,0.8,0.649
11.26,0.8,0.645
11.28,0.8,0.64
11.3,0.8,0.633
11.32,0.8,0.626
11.34,0.8,0.619
11.36,0.8,0.61
11.38,0.8,0.602
11.4,0.8,0.593
11.42,0.8,0.582
11.44,0.8,0.572
11.46,0.8,0.562
11.48,0.8,0.551
11.5,0.8,0.539
11.52,0.8,0.528
11.54,0.8,0.518
11.56,0.8,0.506
11.58,0.8,0.495
11.6,0.8,0.485
11.62,0.8,0.474
11.64,0.8,0.464
11.66,0.8,0.455
11.68,0.8,0.445
11.7,0.8,0.438
11.72,0.8,0.429
11.74,0.8,0.422
11.76,0.8,0.415
11.78,0.8,0.41
11.8,0.8,0.404
11.82,0.8,0.399
11.84,0.8,0.397
11.86,0.8,0.394
11.88,0.8,0.392
11.9,0.8,0.392
11.92,0.8,0.392
11.94,0.8,0.394
11.96,0.8,0.397
11.98,0.8,0.399
12,0.8,0.404
12.02,0.8,0.41
12.04,0.8,0.415
12.06,0.8,0.42
12.08,0.8,0.427
12.1,0.8,0.436
12.12,0.8,0.443
12.14,0.8,0.452
12.16,0.8,0.46
12.18,0.8,0.471
12.2,0.8,0.479
12.22,0.8,0.488
12.24,0.8,0.499
12.26,0.8,0.507
12.28,0.8,0.518
12.3,0.8,0.528
12.32,0.8,0.537
12.34,0.8,0.548
12.36,0.8,0.556
12.38,0.8,0.565
12.4,0.8,0.574
12.42,0.8,0.581
12.44,0.8,0.589
12.46,0.8,0.596
12.48,0.8,0.602
12.5,0.8,0.609
12.52,0.8,0.614
12.54,0.8,0.617
12.56,0.8,0.621
12.58,0.8,0.624
12.6,0.8,0.626
12.62,0.8,0.628
12.64,0.8,0.628
12.66,0.8,0.628
12.68,0.8,0.628
12.7,0.8,0.626
12.72,0.8,0.623
12.74,0.8,0.619
12.76,0.8,0.616
12.78,0.8,0.612
12.8,0.8,0.607
12.82,0.8,0.602
12.84,0.8,0.595
12.86,0.8,0.588
12.88,0.8,0.581
12.9,0.8,0.574
12.92,0.8,0.565
12.94,0.8,0.556
12.96,0.8,0.548
12.98,0.8,0.539
13,0.8,0.53
13.02,0.8,0.521
13.04,0.8,0.511
13.06,0.8,0.502
13.08,0.8,0.493
13.1,0.8,0.485
13.12,0.8,0.476
13.14,0.8,0.467
13.16,0.8,0.46
13.18,0.8,0.452
13.2,0.8,0.445
13.22,0.8,0.438
13.24,0.8,0.432
13.26,0.8,0.427
13.28,0.8,0.422
13.3,0.8,0.418
13.32,0.8,0.415
13.34,0.8,0.411
13.36,0.8,0.41
13.38,0.8,0.41
13.4,0.8,0.41
13.42,0.8,0.41
13.44,0.8,0.411
13.46,0.8,0.413
13.48,0.8,0.417
13.5,0.8,0.42
13.52,0.8,0.424
13.54,0.8,0.429
13.56,0.8,0.434
13.58,0.8,0.441
13.6,0.8,0.446
13.62,0.8,0.453
13.64,0.8,0.46
13.66,0.8,0.469
13.68,0.8,0.476
13.7,0.8,0.485
13.72,0.8,0.493
13.74,0.8,0.502
13.76,0.8,0.509
13.78,0.8,0.518
13.8,0.8,0.527
13.82,0.8,0.534
13.84,0.8,0.542
13.86,0.8,0.549
13.88,0.8,0.556
13.9,0.8,0.563
13.92,0.8,0.57
13.94,0.8,0.577
13.96,0.8,0.582
13.98,0.8,0.588
14,0.8,0.593
14.02,0.8,0.598
14.04,0.8,0.602
14.06,0.8,0.605
14.08,0.8,0.607
14.1,0.8,0.609
14.12,0.8,0.61
14.14,0.8,0.612
14.16,0.8,0.612
14.18,0.8,0.612
14.2,0.8,0.61
14.22,0.8,0.609
14.24,0.8,0.607
14.26,0.8,0.603
14.28,0.8,0.6
14.3,0.8,0.596
14.32,0.8,0.591
14.34,0.8,0.586
14.36,0.8,0.581
14.38,0.8,0.575
14.4,0.8,0.568
14.42,0.8,0.563
14.44,0.8,0.556
14.46,0.8,0.549
14.48,0.8,0.542
14.5,0.8,0.535
14.52,0.8,0.528
14.54,0.8,0.52
14.56,0.8,0.513
14.58,0.8,0.506
14.6,0.8,0.499
14.62,0.8,0.492
14.64,0.8,0.485
14.66,0.8,0.478
14.68,0.8,0.473
14.7,0.8,0.466
14.72,0.8,0.46
14.74,0.8,0.455
14.76,0.8,0.452
14.78,0.8,0.446
14.8,0.8,0.443
14.82,0.8,0.441
14.84,0.8,0.438
14.86,0.8,0.436
14.88,0.8,0.434
14.9,0.8,0.432
14.92,0.8,0.432
14.94,0.8,0.432
14.96,0.8,0.432
14.98,0.8,0.434
15,0.8,0.436
15.02,0.8,0.438
15.04,0.8,0.439
15.06,0.8,0.443
15.08,0.8,0.446
15.1,0.8,0.452
15.12,0.8,0.455
15.14,0.8,0.46
15.16,0.8,0.466
15.18,0.8,0.473
15.2,0.8,0.478
15.22,0.8,0.483
15.24,0.8,0.49
15.26,0.8,0.497
15.28,0.8,0.502
15.3,0.8,0.509
15.32,0.8,0.516
15.34,0.8,0.523
15.36,0.8,0.528
15.38,0.8,0.535
15.4,0.8,0.541
15.42,0.8,0.548
15.44,0.8,0.553
15.46,0.8,0.558
15.48,0.8,0.562
15.5,0.8,0.567
15.52,0.8,0.57
15.54,0.8,0.574
15.56,0.8,0.577
15.58,0.8,0.581
15.6,0.8,0.582
15.62,0.8,0.584
15.64,0.8,0.586
15.66,0.8,0.586
15.68,0.8,0.588
15.7,0.8,0.586
15.72,0.8,0.586
15.74,0.8,0.584
15.76,0.8,0.582
15.78,0.8,0.581
15.8,0.8,0.579
15.82,0.8,0.575
15.84,0.8,0.572
15.86,0.8,0.568
15.88,0.8,0.565
15.9,0.8,0.56
15.92,0.8,0.556
15.94,0.8,0.551
15.96,0.8,0.546
15.98,0.8,0.541
16,0.8,0.535
16.02,0.8,0.53
16.04,0.8,0.525
16.06,0.8,0.52
16.08,0.8,0.514
16.1,0.8,0.509
16.12,0.8,0.502
16.14,0.8,0.497
16.16,0.8,0.492
16.18,0.8,0.488
16.2,0.8,0.483
16.22,0.8,0.479
16.24,0.8,0.474
16.26,0.8,0.471
16.28,0.8,0.467
16.3,0.8,0.464
16.32,0.8,0.46
16.34,0.8,0.459
16.36,0.8,0.457
16.38,0.8,0.455
16.4,0.8,0.453
16.42,0.8,0.453
16.44,0.8,0.453
16.46,0.8,0.453
16.48,0.8,0.453
16.5,0.8,0.455
16.52,0.8,0.457
16.54,0.8,0.459
16.56,0.8,0.46
16.58,0.8,0.464
16.6,0.8,0.466
16.62,0.8,0.469
16.64,0.8,0.473
16.66,0.8,0.478
16.68,0.8,0.481
16.7,0.8,0.486
16.72,0.8,0.49
16.74,0.8,0.495
16.76,0.8,0.5
16.78,0.8,0.504
16.8,0.8,0.509
16.82,0.8,0.514
16.84,0.8,0.52
16.86,0.8,0.523
16.88,0.8,0.528
16.9,0.8,0.534
16.92,0.8,0.537
16.94,0.8,0.542
16.96,0.8,0.546
16.98,0.8,0.549
17,0.8,0.555
17.02,0.8,0.556
17.04,0.8,0.56
17.06,0.8,0.563
17.08,0.8,0.565
17.1,0.8,0.567
17.12,0.8,0.568
17.14,0.8,0.57
17.16,0.8,0.572
17.18,0.8,0.572
17.2,0.8,0.572
17.22,0.8,0.572
17.24,0.8,0.572
17.26,0.8,0.57
17.28,0.8,0.568
17.3,0.8,0.568
17.32,0.8,0.565
17.34,0.8,0.563
17.36,0.8,0.562
17.38,0.8,0.558
17.4,0.8,0.556
17.42,0.8,0.553
17.44,0.8,0.549
17.46,0.8,0.546
17.48,0.8,0.542
17.5,0.8,0.537
17.52,0.8,0.534
17.54,0.8,0.53
17.56,0.8,0.525
17.58,0.8,0.521
17.6,0.8,0.516
17.62,0.8,0.513
17.64,0.8,0.507
17.66,0.8,0.504
17.68,0.8,0.5
17.7,0.8,0.495
17.72,0.8,0.492
17.74,0.8,0.488
17.76,0.8,0.486
17.78,0.8,0.483
17.8,0.8,0.479
17.82,0.8,0.478
17.84,0.8,0.476
17.86,0.8,0.474
17.88,0.8,0.473
17.9,0.8,0.473
17.92,0.8,0.471
17.94,0.8,0.471
17.96,0.8,0.471
17.98,0.8,0.471
18,0.8,0.471
18.02,0.8,0.473
18.04,0.8,0.474
18.06,0.8,0.476
18.08,0.8,0.478
18.1,0.8,0.479
18.12,0.8,0.481
18.14,0.8,0.485
18.16,0.8,0.486
18.18,0.8,0.49
18.2,0.8,0.493
18.22,0.8,0.497
18.24,0.8,0.5
18.26,0.8,0.504
18.28,0.8,0.507
18.3,0.8,0.511
18.32,0.8,0.514
18.34,0.8,0.518
18.36,0.8,0.521
18.38,0.8,0.525
18.4,0.8,0.528
18.42,0.8,0.532
18.44,0.8,0.535
18.46,0.8,0.539
18.48,0.8,0.542
18.5,0.8,0.544
18.52,0.8,0.548
18.54,0.8,0.549
18.56,0.8,0.553
18.58,0.8,0.555
18.6,0.8,0.556
18.62,0.8,0.558
18.64,0.8,0.56
18.66,0.8,0.562
18.68,0.8,0.562
18.7,0.8,0.563
18.72,0.8,0.563
18.74,0.8,0.563
18.76,0.8,0.563
18.78,0.8,0.563
18.8,0.8,0.563
18.82,0.8,0.562
18.84,0.8,0.56
18.86,0.8,0.56
18.88,0.8,0.558
18.9,0.8,0.555
18.92,0.8,0.553
18.94,0.8,0.551
18.96,0.8,0.548
18.98,0.8,0.546
19,0.8,0.542
19.02,0.8,0.541
19.04,0.8,0.537
19.06,0.8,0.534
19.08,0.8,0.53
19.1,0.8,0.527
19.12,0.8,0.523
19.14,0.8,0.52
19.16,0.8,0.516
19.18,0.8,0.513
19.2,0.8,0.509
19.22,0.8,0.506
19.24,0.8,0.502
19.26,0.8,0.5
19.28,0.8,0.497
19.3,0.8,0.493
19.32,0.8,0.492
19.34,0.8,0.49
19.36,0.8,0.488
19.38,0.8,0.486
19.4,0.8,0.485
19.42,0.8,0.483
19.44,0.8,0.483
19.46,0.8,0.483
19.48,0.8,0.481
19.5,0.8,0.481
19.52,0.8,0.481
19.54,0.8,0.483
19.56,0.8,0.483
19.58,0.8,0.485
19.6,0.8,0.485
19.62,0.8,0.486
19.64,0.8,0.488
19.66,0.8,0.49
19.68,0.8,0.492
19.7,0.8,0.495
19.72,0.8,0.497
19.74,0.8,0.5
19.76,0.8,0.502
19.78,0.8,0.506
19.8,0.8,0.509
19.82,0.8,0.511
